seq	trim_left	trim_right	primer_type
S-0562_oECA1271_ssu_pcr_1	30	92	ssu_pcr_1
S-0415_oECA1271_ssu_pcr_1	29	3	ssu_pcr_1
S-0530_oECA1271_ssu_pcr_1	27	30	ssu_pcr_1
S-0503_oECA1271_ssu_pcr_1	27	10	ssu_pcr_1
S-0551_oECA1271_ssu_pcr_1	33	4	ssu_pcr_1
S-0511_oECA1271_ssu_pcr_1	38	20	ssu_pcr_1
S-0499_oECA1271_ssu_pcr_1	19	38	ssu_pcr_1
S-0575_oECA1271_ssu_pcr_1	27	22	ssu_pcr_1
S-0402_oECA1271_ssu_pcr_1	28	44	ssu_pcr_1
S-0567_oECA1271_ssu_pcr_1	29	6	ssu_pcr_1
S-0417_oECA1271_ssu_pcr_1	28	21	ssu_pcr_1
S-0535_oECA1271_ssu_pcr_1	10	39	ssu_pcr_1
S-0608_oECA1271_ssu_pcr_1	20	6	ssu_pcr_1
S-0517_oECA1271_ssu_pcr_1	29	137	ssu_pcr_1
S-0505_oECA1271_ssu_pcr_1	25	3	ssu_pcr_1
S-0550_oECA1271_ssu_pcr_1	30	51	ssu_pcr_1
S-0502_oECA1271_ssu_pcr_1	31	7	ssu_pcr_1
S-0557_oECA1271_ssu_pcr_1	31	157	ssu_pcr_1
S-0638_oECA1271_ssu_pcr_1	36	98	ssu_pcr_1
S-0534_oECA1271_ssu_pcr_1	20	27	ssu_pcr_1
S-0561_oECA1271_ssu_pcr_1	28	57	ssu_pcr_1
S-0599_oECA1271_ssu_pcr_1	11	14	ssu_pcr_1
S-0533_oECA1271_ssu_pcr_1	34	4	ssu_pcr_1
S-0566_oECA1271_ssu_pcr_1	28	7	ssu_pcr_1
S-0609_oECA1271_ssu_pcr_1	14	42	ssu_pcr_1
S-0404_oECA1271_ssu_pcr_1	10	6	ssu_pcr_1
S-0403_oECA1271_ssu_pcr_1	8	35	ssu_pcr_1
S-0574_oECA1271_ssu_pcr_1	39	162	ssu_pcr_1
S-0611_oECA1271_ssu_pcr_1	9	18	ssu_pcr_1
S-0616_oECA1271_ssu_pcr_1	25	40	ssu_pcr_1
S-0593_oECA1271_ssu_pcr_1	24	56	ssu_pcr_1
S-0656_oECA1271_ssu_pcr_1	37	7	ssu_pcr_1
S-0603_oECA1271_ssu_pcr_1	20	45	ssu_pcr_1
S-0651_oECA1271_ssu_pcr_1	46	18	ssu_pcr_1
S-0604_oECA1271_ssu_pcr_1	41	18	ssu_pcr_1
S-0632_oECA1271_ssu_pcr_1	19	5	ssu_pcr_1
S-0660_oECA1271_ssu_pcr_1	25	3	ssu_pcr_1
S-0635_oECA1271_ssu_pcr_1	29	89	ssu_pcr_1
S-0627_oECA1271_ssu_pcr_1	19	5	ssu_pcr_1
S-0595_oECA1271_ssu_pcr_1	25	66	ssu_pcr_1
S-0538_oECA1271_ssu_pcr_1	25	85	ssu_pcr_1
S-0650_oECA1271_ssu_pcr_1	22	6	ssu_pcr_1
S-0602_oECA1271_ssu_pcr_1	30	25	ssu_pcr_1
S-0642_oECA1271_ssu_pcr_1	39	479	ssu_pcr_1
S-0610_oECA1271_ssu_pcr_1	20	3	ssu_pcr_1
S-0493_oECA1271_ssu_pcr_1	30	34	ssu_pcr_1
S-0626_oECA1271_ssu_pcr_1	31	15	ssu_pcr_1
S-0481_oECA1271_ssu_pcr_1	29	5	ssu_pcr_1
S-0634_oECA1271_ssu_pcr_1	41	9	ssu_pcr_1
S-0633_oECA1271_ssu_pcr_1	31	73	ssu_pcr_1
S-0645_oECA1271_E09_ssu_pcr_2	32	32	ssu_pcr_2
S-0887_oECA1271_H06_ssu_pcr_2	158	6	ssu_pcr_2
S-0849_oECA1271_G03_ssu_pcr_2	33	20	ssu_pcr_2
S-0891_oECA1271_C07_ssu_pcr_2	25	105	ssu_pcr_2
S-0861_oECA1271_H04_ssu_pcr_2	41	3	ssu_pcr_2
S-0850_oECA1271_H03_ssu_pcr_2	41	5	ssu_pcr_2
S-0890_oECA1271_B07_ssu_pcr_2	43	40	ssu_pcr_2
S-0669_oECA1271_B03_ssu_pcr_2	32	2	ssu_pcr_2
S-0868_oECA1271_C05_ssu_pcr_2	15	62	ssu_pcr_2
S-0881_oECA1271_C06_ssu_pcr_2	13	90	ssu_pcr_2
S-0715_oECA1271_E02_ssu_pcr_2	38	9	ssu_pcr_2
S-0711_oECA1271_A02_ssu_pcr_2	35	10	ssu_pcr_2
S-0901_oECA1271_G07_ssu_pcr_2	38	6	ssu_pcr_2
S-0914_oECA1271_H08_ssu_pcr_2	29	72	ssu_pcr_2
S-0877_oECA1271_G05_ssu_pcr_2	38	1	ssu_pcr_2
S-0857_oECA1271_D04_ssu_pcr_2	40	13	ssu_pcr_2
S-0680_oECA1271_B01_ssu_pcr_2	41	38	ssu_pcr_2
S-0900_oECA1271_F07_ssu_pcr_2	36	20	ssu_pcr_2
S-0876_oECA1271_F05_ssu_pcr_2	15	24	ssu_pcr_2
S-0880_oECA1271_B06_ssu_pcr_2	38	12	ssu_pcr_2
S-0714_oECA1271_D02_ssu_pcr_2	34	11	ssu_pcr_2
S-0704_oECA1271_G01_ssu_pcr_2	40	26	ssu_pcr_2
S-0902_oECA1271_H07_ssu_pcr_2	22	15	ssu_pcr_2
S-0859_oECA1271_F04_ssu_pcr_2	39	11	ssu_pcr_2
S-0858_oECA1271_E04_ssu_pcr_2	63	10	ssu_pcr_2
S-0862_oECA1271_A05_ssu_pcr_2	21	55	ssu_pcr_2
S-0672_oECA1271_E03_ssu_pcr_2	35	7	ssu_pcr_2
S-0894_oECA1271_E07_ssu_pcr_2	36	11	ssu_pcr_2
S-0916_oECA1271_B09_ssu_pcr_2	38	3	ssu_pcr_2
S-0853_oECA1271_C04_ssu_pcr_2	43	34	ssu_pcr_2
S-0679_oECA1271_A01_ssu_pcr_2	34	47	ssu_pcr_2
S-0906_oECA1271_D08_ssu_pcr_2	26	5	ssu_pcr_2
S-0912_oECA1271_F08_ssu_pcr_2	35	5	ssu_pcr_2
S-0903_oECA1271_A08_ssu_pcr_2	25	29	ssu_pcr_2
S-0913_oECA1271_G08_ssu_pcr_2	39	13	ssu_pcr_2
S-0885_oECA1271_F06_ssu_pcr_2	37	20	ssu_pcr_2
S-0701_oECA1271_D01_ssu_pcr_2	26	27	ssu_pcr_2
S-0879_oECA1271_A06_ssu_pcr_2	11	122	ssu_pcr_2
S-0852_oECA1271_B04_ssu_pcr_2	16	4	ssu_pcr_2
S-0882_oECA1271_D06_ssu_pcr_2	33	16	ssu_pcr_2
S-0720_oECA1271_H02_ssu_pcr_2	28	38	ssu_pcr_2
S-0883_oECA1271_E06_ssu_pcr_2	36	6	ssu_pcr_2
S-0698_oECA1271_C01_ssu_pcr_2	37	17	ssu_pcr_2
S-0844_oECA1271_A03_ssu_pcr_2	35	9	ssu_pcr_2
S-0713_oECA1271_C02_ssu_pcr_2	50	34	ssu_pcr_2
S-0875_oECA1271_E05_ssu_pcr_2	17	8	ssu_pcr_2
S-0874_oECA1271_D05_ssu_pcr_2	32	180	ssu_pcr_2
S-0878_oECA1271_H05_ssu_pcr_2	26	30	ssu_pcr_2
S-0864_oECA1271_B05_ssu_pcr_2	30	204	ssu_pcr_2
S-0649_oECA1271_F09_ssu_pcr_2	30	108	ssu_pcr_2
S-0705_oECA1271_H01_ssu_pcr_2	41	16	ssu_pcr_2
S-0712_oECA1271_B02_ssu_pcr_2	37	80	ssu_pcr_2
S-0697_oECA1271_F03_ssu_pcr_2	17	7	ssu_pcr_2
S-0719_oECA1271_G02_ssu_pcr_2	25	49	ssu_pcr_2
S-0905_oECA1271_C08_ssu_pcr_2	37	6	ssu_pcr_2
S-0904_oECA1271_B08_ssu_pcr_2	29	3	ssu_pcr_2
S-0671_oECA1271_D03_ssu_pcr_2	16	21	ssu_pcr_2
S-0718_oECA1271_F02_ssu_pcr_2	32	44	ssu_pcr_2
S-0670_oECA1271_C03_ssu_pcr_2	45	5	ssu_pcr_2
S-0893_oECA1271_D07_ssu_pcr_2	46	18	ssu_pcr_2
S-0851_oECA1271_A04_ssu_pcr_2	165	7	ssu_pcr_2
S-0860_oECA1271_G04_ssu_pcr_2	30	7	ssu_pcr_2
S-0643_oECA1271_D09_ssu_pcr_2	174	8	ssu_pcr_2
S-0920_oECA1271_C09_ssu_pcr_2	17	9	ssu_pcr_2
S-0886_oECA1271_G06_ssu_pcr_2	41	7	ssu_pcr_2
S-0911_oECA1271_E08_ssu_pcr_2	38	48	ssu_pcr_2
S-0889_oECA1271_A07_ssu_pcr_2	36	6	ssu_pcr_2
S-0915_oECA1271_A09_ssu_pcr_2	39	9	ssu_pcr_2
S-0703_oECA1271_F01_ssu_pcr_2	114	85	ssu_pcr_2
S-0702_oECA1271_E01_ssu_pcr_2	68	17	ssu_pcr_2
